,Celltype1,Celltype2,Celltype3,Celltype4,Celltype5,Celltype6,Celltype7,Celltype8,Celltype9,Celltype10
hsa04520,0.99979193309867,0.190833566966692,1,0.397215979410958,0.299853259954142,0.398105360557969,0.32480326945379,0.852460389228505,0.422707538102387,0.994816056749983
hsa04530,1,1,1,1,1,0.999999926527547,1,1,1,0.999999999999998
hsa04540,0.00165804446255681,0.375973380531204,0.999999858031559,0.97998240765002,0.827691056309208,0.398105360557969,0.780474838636951,0.674485500133971,0.420128412302394,0.0341292058662938
hsa04550,0.968177035718044,0.942313575512373,0.547325662287984,0.950188952832752,0.997532637670547,0.627134731581564,0.931115586120782,0.490450378655671,0.531156399941263,0.946096982197725
hsa04611,3.79695827920283e-05,0.999994839814261,1,0.999189813912797,0.997062276046788,0.398105360557969,0.815217457609126,0.927378014584763,0.55208190911226,0.00118423632595769
hsa04612,0.999999947318031,0.99999999940187,0.999999840425646,0.999316053439685,0.999999999994158,0.973916979587121,0.99999995704958,0.99296953045059,0.99999999999925,0.999999996027671
hsa04613,0.996677040207679,0.0678106211097544,5.36291569706307e-33,0.343486595699727,0.000208383659961186,0.398105360557969,0.128857820604225,0.00580565937207848,0.904292533631796,0.579839551634496
hsa04620,0.984133321631966,0.999997889468128,0.999999954168441,0.957176822113787,0.999589196474782,0.534814966730997,0.987226330802107,0.998415625883406,0.355279433139151,0.81639154125421
hsa04621,0.991808823613147,0.761887866766912,1,0.999994025731464,0.973695336775407,0.749777921995185,0.999965544907001,0.998181467356637,0.478591924121728,0.995513233021623
hsa04625,0.000244619258787676,0.0845857882977795,2.66760067010484e-35,8.32411478578112e-21,1.49700805946782e-11,0.0250425280742507,5.87271878614191e-14,0.00215960000796291,2.2369549142237e-07,1.32460888957108e-06
hsa04630,0.00069682508690407,0.00865991084442532,4.59654158521684e-06,0.988962389207937,0.000124914149715692,0.784755447052955,0.876077309571812,0.138159972828286,0.403999504072967,0.0258765475067547
hsa04640,0.000389852145591597,0.107519158863301,0.732474597032147,7.19009152548837e-08,0.378141842778111,0.896551628826109,0.947151247006043,0.589219065499575,0.157675489584122,0.185265239481888
hsa04650,0.0511730980830577,0.648997459918847,2.73201180546718e-18,0.999938481078297,0.344721483890804,0.943897577281393,0.719446532543161,0.0161997181341418,0.865589494762193,0.450017962917807
hsa04657,0.207141960545256,0.226461124086633,0.779469828339028,0.86475569921055,0.490169985765746,0.398105360557969,0.746260996252431,0.540144780479243,0.324917237417612,0.493550026099744
hsa04658,0.0629974801786768,0.103062299639149,0.992924389846112,0.000933697164201582,0.04755448584919,0.675219475270909,0.66946911408948,0.685747686499833,0.772728478363912,0.950316707276513
hsa04659,0.792147214126465,0.371155446507833,0.99999999999909,0.00864493954312225,0.953036474046632,0.669610532629693,0.416108228891638,0.962901199545226,0.908542940966223,0.998306335016606
