,gene_heritability_correlation
KIF2C,0.0160679133058706
RPS8,0.411605796251824
BEST4,0
PLK3,0.0265793295739147
TCTEX1D4,-0.0560816792724107
BTBD19,0.0222682701147078
PTCH2,0.076937519181639
EIF2B3,-0.0355556152606928
HECTD3,-0.0167351745328982
UROD,0.0392226731184108
ZSWIM5,0.0109384908906518
LINC01144,-0.0126417676409738
HPDL,-0.00360991527521154
MUTYH,-0.00338097678562236
TOE1,0.0464178327279861
TESK2,0.0484709873869529
CCDC163P,-0.0237505977017777
MMACHC,-0.080356786657825
PRDX1,0.0521646599154028
AKR1A1,-0.0307838409148618
NASP,0.0318247098065291
CCDC17,0.0254203081085569
GPBP1L1,-0.00917969860705204
TMEM69,0.0161657376680219
IPP,0.0266961827723663
MAST2,-0.0412545642206532
TSPAN1,-0.00324932310986437
POMGNT1,-0.0114673827225039
LURAP1,0.0132398565581174
RAD54L,0.0356611631863068
LRRC41,-0.0558225909046419
UQCRH,0.21773032669962
NSUN4,0.0105335795242771
FAAH,-0.0126216448358689
MKNK1,0.018740767171186
MOB3C,-0.0172947030167423
ATPAF1,0.00608016207134162
EFCAB14,0.0499874332526825
CYP4B1,0
CYP4A11,-0.210179100498697
CYP4X1,-0.0204932217753067
CYP4A22,-0.127953807226918
LINC00853,-0.0370529112971951
PDZK1IP1,0.0941596834514956
TAL1,-0.0229804887739058
RP1-18D14.7,-0.0157630733363694
STIL,-0.00220378350461718
CMPK1,-0.0164199003586811
LINC01389,0.00954386760747402
FOXD2-AS1,0.0323912694854074
FOXD2,0
TRABD2B,-0.0521060266805
SLC5A9,-0.00149145032047438
RP5-1024N4.4,0
SPATA6,-0.0150980202944536
AGBL4,0
BEND5,0.0312303582214591
ELAVL4,-0.0146898063755711
RP11-567C20.2,0
FAF1,-0.0106896133822316
CDKN2C,0.147063739786465
RNF11,-0.0337981369326125
TTC39A,0
TTC39A-AS1,-0.0371307149143685
EPS15,0.0072229908227027
RP11-191G24.1,-0.00353911225120762
OSBPL9,-0.0775414546825842
NRDC,-0.0285294142424269
RP4-657D16.3,0.0322235372638374
RAB3B,-0.0145833488157391
TXNDC12,0.0691421392266926
KTI12,-0.00882042919300131
RP11-91A18.4,0.0235040621516543
BTF3L4,0.15425331316527
ZFYVE9,-0.02781882765511
CC2D1B,-0.0298948016716289
ORC1,0.0725981416832055
PRPF38A,0.0400424323853947
ZCCHC11,-0.0301507319970517
GPX7,-0.00530669598796009
FAM159A,0.00448650237726604
COA7,-0.0196823841258327
ZYG11B,-0.0288821271856509
ZYG11A,-0.0203453863813771
ECHDC2,-0.23926519871389
SCP2,-0.112985600554168
PODN,0
SLC1A7,-0.0159683338387062
CPT2,-0.0929621641614488
RP5-1024G6.2,-0.0398635211405786
C1orf123,0.0347250604777182
RP5-1024G6.7,-0.0102395650821008
MAGOH,0.121351207394674
RP5-1024G6.5,-0.0293111293400453
LRP8,-0.000751469867876148
RP11-117D22.2,-0.055479751867833
NDC1,-0.0278900321531691
YIPF1,0.0514468702483565
DIO1,-0.0886122638654226
HSPB11,0.0951546278986941
LRRC42,0.00500686862342596
TMEM59,0.0425969586610709
TCEANC2,0.0538473760980586
RP11-446E24.4,-0.000436453592652552
CYB5RL,0.00472882116579745
MRPL37,0.000427655223487586
SSBP3,-0.100653751191855
SSBP3-AS1,0.0884556640533857
ACOT11,-0.0154380265954827
FAM151A,-0.0297696267454484
MROH7,-0.0478423996263817
TTC4,0.00802825987422722
PARS2,-0.055623972255171
TTC22,-0.0377844293318885
LEXM,0
DHCR24,-0.24270911205693
RP11-67L3.4,0
PCSK9,-0.0492882658168536
USP24,-0.0463803103624303
RP11-90C4.1,0.0235040621516543
RP11-504A18.1,-0.0391164126965376
RP4-710M16.2,-0.0833246651529911
PLPP3,-0.195144273392746
PRKAA2,-0.0581406464002499
C1orf168,-0.0722402606883236
C8A,-0.125439431763654
C8B,-0.0988210461504568
RP5-1103B4.3,-0.000797756079442888
DAB1,-0.0329591198234664
OMA1,0.0277520969756297
TACSTD2,-0.0166665448431508
MYSM1,0.0602079386908113
JUN,0.106907526514531
LINC01135,0
RP4-794H19.1,0.0656129778683435
LINC01358,0
FGGY,-0.0431143414245515
HOOK1,-0.074110394705429
CYP2J2,-0.0913359845741795
RP11-776H12.1,0
NFIA,-0.0934329816677406
TM2D1,-0.00844322410817228
RP11-430G17.3,0
INADL,-0.0489124407674804
L1TD1,-0.0116582816651488
KANK4,0
USP1,0.0761001234209631
DOCK7,-0.0283638431059705
ANGPTL3,-0.0949847543299201
RP11-230B22.1,0
ATG4C,0.0885441693444829
RP11-5P4.1,0
ALG6,-0.0282338258117646
ITGB3BP,0.0275900513993898
EFCAB7,-0.00193893217686957
PGM1,-0.214983261590725
ROR1,0
CACHD1,-0.0244522606415778
RAVER2,-0.0239367299546853
JAK1,-0.0118590883469118
RP4-535B20.4,0.0061369562619489
AK4,-0.0838798718052018
DNAJC6,-0.00805481816429711
LEPROT,0.0320978911870025
LEPR,-0.120178893214481
PDE4B,0.0250547392105249
SGIP1,-0.0284852629387794
TCTEX1D1,-0.0559846241652937
WDR78,0.0141630948022228
MIER1,-0.029637228108237
SLC35D1,-0.101350800379757
IL23R,-0.00231219090257413
IL12RB2,-0.00557159732420841
SERBP1,0.0855869269258572
RP11-393N21.2,-0.0819171809764126
GADD45A,0.0328725894924688
GNG12,-0.0661536802079054
GNG12-AS1,0.111567531771457
DIRAS3,-0.0220546665782953
WLS,-0.0763445966382863
DEPDC1,0.116134672360114
DEPDC1-AS1,0.00949004832404229
LRRC7,-0.00130812459387482
LRRC40,-0.0486198640823136
SRSF11,-0.000222004633850715
ANKRD13C,0.0318243048263484
HHLA3,0.00168087393559578
CTH,-0.0659911446669008
RP11-42O15.3,-0.0447602792967346
PTGER3,0
ZRANB2-AS1,0
ZRANB2,0.0458005911340062
NEGR1,0.00968011365790865
LRRIQ3,0.0380175744073762
FPGT,-0.0158789560621782
FPGT-TNNI3K,-0.0421426561234517
ERICH3,0
RP11-17E13.2,-0.0526546509873168
CRYZ,-0.121339850694792
TYW3,0.0731462436629209
SLC44A5,0.0103127513377442
ACADM,-0.103434241564201
RABGGTB,0.0522919389622278
MSH4,-0.0227191358880389
ST6GALNAC3,-0.000569594400772766
RP5-1102E8.3,0.00237068841410566
PIGK,-0.0359137461828725
AK5,-0.00294001777318422
ZZZ3,0.0263767367252619
USP33,-0.0234724285431007
FAM73A,-0.0164279923235696
NEXN,0.0641715819699852
FUBP1,0.106819770779903
DNAJB4,0.009284145635806
GIPC2,-0.0835293514304339
RP11-386I14.4,0.0454602669608436
PTGFR,-0.0439976975611088
IFI44L,0.0315627927090527
IFI44,0.00470596426858986
ADGRL4,-0.126131495200102
RP5-887A10.1,-0.00416211960227125
ADGRL2,-0.107112584347372
RP11-475O6.1,-0.0255348785009776
RP5-836J3.1,-0.00771825434637892
TTLL7,-0.0159186605406027
RP11-486G15.2,-0.00532938274917701
PRKACB,0.0875124031956035
SAMD13,0.0463869132578419
DNASE2B,0
RPF1,0.0594013557890683
GNG5,0.125533863788411
CTBS,-0.0589035537446797
SSX2IP,-0.0211422961958226
LPAR3,0
MCOLN2,0.0343017989318808
MCOLN3,-0.0305419923582465
SYDE2,-0.0212199935020683
C1orf52,0.016241008783806
BCL10,0.0320580414770617
RP11-131L23.1,0.0500446732106888
DDAH1,-0.0678462021836264
RP11-131L23.2,-0.0147477472282929
RP4-621F18.2,0.0133463302311943
RP11-290M5.4,0
CYR61,-0.050287276566556
ZNHIT6,0.0409339953422236
COL24A1,0.00507491244819892
ODF2L,0.0430115049280138
RP4-612B15.3,-0.0289380773757265
SH3GLB1,0.0332452483696773
SEP15,0.11071193912189
HS2ST1,-0.0240731756983412
LMO4,0.00448382689875517
PKN2-AS1,-0.02678441818199
PKN2,-0.0644036409343623
GTF2B,0.0910049114014634
CCBL2,0.0223548664556542
RBMXL1,0.0141995614585403
GBP3,0.0459403196820687
GBP1,-0.0666038765598606
GBP2,0.0399311583003279
GBP7,-0.0630797574508605
GBP4,0.0416923537380222
GBP5,0.0614262937691486
GBP6,0
LRRC8B,-0.0292738122379948
FLJ27354,0.0376425113848712
LRRC8C,-0.0178929255549107
RP5-943J3.2,0.00140200023289559
LRRC8D,0.0315611189846068
ZNF326,0.0723466072903366
RP4-665J23.1,0.00107007264902812
ZNF644,0.0306710787817467
CDC7,0.00534913907173963
TGFBR3,-0.0971758526836722
BRDT,0
EPHX4,0.0319323914908752
SETSIP,0.00784264788106294
BTBD8,-0.0070746017894379
KIAA1107,-0.0215005059445214
GLMN,0.0242056654590454
RPAP2,0.0472385312417804
GFI1,0.0333890054713425
EVI5,0.0334729017286174
RPL5,0.316104771133283
FAM69A,0.0235795578968352
MTF2,0.0747553772575566
TMED5,0.0977819882829926
CCDC18,0.0645706291776978
DR1,0.0168644652706051
FNBP1L,-0.0821626894128142
BCAR3,-0.016765180679175
RP5-1033H22.2,-0.00115655557449598
RP4-561L24.3,-0.0642766573685245
DNTTIP2,0.036774119832536
GCLM,-0.0453453917802053
