,gene_heritability_correlation
NFYC-AS1,0
NFYC,-0.0425918032535434
CITED4,-0.0668919772739626
CTPS1,-0.0254179382903748
SLFNL1-AS1,0
SCMH1,-0.0152194464406141
FOXO6,0
EDN2,0
HIVEP3,-0.0612674118564073
GUCA2B,-0.0442688515444186
FOXJ3,0.0550230630659047
RIMKLA,0
ZMYND12,-0.0757589312202649
PPCS,-0.0779408243585248
CCDC30,-0.0546142854637831
PPIH,-0.037334902745965
RP5-994D16.3,0
YBX1,0.0226438772782686
CLDN19,-0.0578290057536082
P3H1,-0.0205303957179537
C1orf50,-0.033238280201269
SVBP,0.0985987101702433
ERMAP,0.145952690202854
RP11-342M1.3,0.0155728576040149
ZNF691,0.00375505486296962
SLC2A1,-0.0601246959756614
SLC2A1-AS1,0.1154517165745
EBNA1BP2,0.077750330515106
CFAP57,-0.0342695887341391
TMEM125,-0.00599693298459983
C1orf210,0
TIE1,0.015997251417022
RP1-92O14.3,0.036031278856899
CDC20,0.0291923122637644
ELOVL1,0.0840038813691389
MED8,-0.00414780202499111
SZT2,-0.00846757980449437
HYI,0.0542892592606832
HYI-AS1,-0.0432802880132746
PTPRF,-0.0201059659368078
KDM4A,-0.0478062053117514
KDM4A-AS1,0.157115330315094
ST3GAL3,-0.028288742571712
IPO13,-0.0323656316874788
DPH2,0.0872015433464974
ATP6V0B,0.265410208751845
B4GALT2,-0.0784159752412204
CCDC24,0
SLC6A9,0.15796553002686
RP5-1198O20.4,-0.0303496013365375
DMAP1,0.19110905341367
ERI3,-0.0496449234531495
RNF220,-0.0335216870974712
TMEM53,-0.114673123691565
C1orf228,-0.00866791470517123
KIF2C,-0.0286017497659885
RPS8,0.251535545191268
BEST4,0
PLK3,0.00443570212437224
TCTEX1D4,-0.0206366239744178
BTBD19,-0.0432802880132746
PTCH2,-0.00118580676276785
EIF2B3,-0.0460903677525915
HECTD3,0.00164716506886332
UROD,0.245664992297118
ZSWIM5,0
LINC01144,-0.0144566902280966
HPDL,-0.0132940279137089
MUTYH,-0.0407129449905866
TOE1,0.0547465375486268
TESK2,0
CCDC163P,-0.0157149238055839
MMACHC,-0.0452007807922551
PRDX1,0.108730612023972
AKR1A1,-0.0738920852521644
NASP,0.0320507014118992
CCDC17,0
GPBP1L1,0.0285529050421192
TMEM69,0.00264086477138463
IPP,-0.00808251471661508
MAST2,-0.0272925111661038
TSPAN1,0
POMGNT1,0.0983775723103229
LURAP1,-0.0153845478920289
RAD54L,-0.0063851568864756
LRRC41,0.0246976763440399
UQCRH,0.240099425432888
NSUN4,0.00581966628900551
FAAH,-0.0705883308608222
MKNK1,-0.00697871362619708
MOB3C,-0.000427546775552138
ATPAF1,0.0972030419687002
EFCAB14,-0.0669042870781829
CYP4B1,0
CYP4A11,-0.0813306520169007
CYP4X1,-0.0348323684151693
CYP4A22,-0.0924939994790761
LINC00853,-0.0389570004151572
PDZK1IP1,0.136135453130686
TAL1,0.0184545276184007
RP1-18D14.7,-0.0406014623233726
STIL,0.00646073860293967
CMPK1,-0.0143853053542142
LINC01389,0.0310429227086704
FOXD2-AS1,0
FOXD2,0
TRABD2B,0
SLC5A9,-0.0432802880132746
RP5-1024N4.4,0
SPATA6,-0.0482149401773436
AGBL4,0
BEND5,-0.00597257840183149
ELAVL4,-0.0578290057536081
RP11-567C20.2,0
FAF1,0.0117677943268141
CDKN2C,0.12995533276871
RNF11,0.0259142470030168
TTC39A,0
TTC39A-AS1,0
EPS15,-0.0684218968722195
RP11-191G24.1,-0.0416158298751279
OSBPL9,0.0839811435875203
NRDC,0.041810339114719
RP4-657D16.3,0
RAB3B,0
TXNDC12,0.0638903635367188
KTI12,-0.029847816454305
RP11-91A18.4,-0.00583929161979613
BTF3L4,0.116614358848155
ZFYVE9,-0.0482686196447628
CC2D1B,-0.0507088143251414
ORC1,0.060868546119866
PRPF38A,0.0826397639524518
ZCCHC11,-0.0131230276528544
GPX7,-0.00522035126834917
FAM159A,-0.0205501482578756
COA7,-0.00252571156152544
ZYG11B,-0.0224683606841765
ZYG11A,-0.0332093570417074
ECHDC2,-0.128865838056316
SCP2,-0.15384660302084
PODN,0
SLC1A7,-0.0240574265656784
CPT2,-0.0149712292191406
RP5-1024G6.2,0
C1orf123,0.0679938646151064
RP5-1024G6.7,-0.0252425015099852
MAGOH,0.0765824381674497
RP5-1024G6.5,-0.0345317585077153
LRP8,-0.0178906279642864
RP11-117D22.2,-0.0344180007391974
NDC1,-0.0405415055236933
YIPF1,0.0198238100965902
DIO1,-0.0646714138646843
HSPB11,-0.0406538095851163
LRRC42,0.157362959969145
TMEM59,0.132220537268127
TCEANC2,-0.0521526900312213
RP11-446E24.4,0
CYB5RL,-0.00946130785300076
MRPL37,0.0478674003402691
SSBP3,-0.0293340761033365
SSBP3-AS1,0
ACOT11,-0.0505987449757328
FAM151A,0
MROH7,0
TTC4,0.0033763918059974
PARS2,0
TTC22,-0.0406014623233726
LEXM,0
DHCR24,-0.040451850556288
RP11-67L3.4,0
PCSK9,-0.093667286768383
USP24,-0.0902044761131169
RP11-90C4.1,-0.00583929161979613
RP11-504A18.1,0
RP4-710M16.2,-0.00740116210587881
PLPP3,0.0542777934702538
PRKAA2,0.13511768317273
C1orf168,-0.0562450711053922
C8A,-0.112066097910431
C8B,-0.0366425120780714
RP5-1103B4.3,-0.0321157094286843
DAB1,-0.0455323483799707
OMA1,-0.0331693540506742
TACSTD2,-0.0113960524500905
MYSM1,0.105004985488036
JUN,0.0825325591496425
LINC01135,0
RP4-794H19.1,0.0815399018394616
LINC01358,0
FGGY,-0.0595496935819504
HOOK1,-0.0311622696123353
CYP2J2,-0.0306228836356419
RP11-776H12.1,0
NFIA,-0.0265378977483553
TM2D1,-0.104263500679015
RP11-430G17.3,0
INADL,-0.0576215356140727
L1TD1,0
KANK4,0
USP1,0.0615006356030623
DOCK7,0.0161939775993997
ANGPTL3,-0.119544314736427
RP11-230B22.1,0
ATG4C,0.0218960005684049
RP11-5P4.1,0
ALG6,0.0712534191038655
ITGB3BP,-0.0267552700181208
EFCAB7,-0.037994580277314
PGM1,0.011538235852379
ROR1,0
CACHD1,-0.0269410480114945
RAVER2,-0.0561537484478152
JAK1,-0.106810123390817
RP4-535B20.4,0
AK4,-0.0760559386613003
DNAJC6,-0.0315930678030191
LEPROT,0.168502346993093
LEPR,-0.0499091840966942
PDE4B,-0.00069327770441738
SGIP1,0
TCTEX1D1,0
WDR78,0
MIER1,-0.013000313112156
SLC35D1,-0.0481780282234587
IL23R,-0.0406014623233726
IL12RB2,0
SERBP1,0.0694757459206817
RP11-393N21.2,-0.0681273903574422
GADD45A,-0.0428217149253044
GNG12,-0.0219940906473187
GNG12-AS1,-0.00583929161979613
DIRAS3,-0.0486337035060598
WLS,0.013572242020562
DEPDC1,0.117752511208221
DEPDC1-AS1,0
LRRC7,0.0141064036231357
LRRC40,0.0789513837592939
SRSF11,-0.0250284459764417
ANKRD13C,-0.0193170718470924
HHLA3,-0.0327347179352057
CTH,-0.105734170555422
RP11-42O15.3,-0.0399629740444411
PTGER3,0
ZRANB2-AS1,0
ZRANB2,0.156703298975293
NEGR1,0
LRRIQ3,0.0964067808949827
FPGT,-0.0104445489936272
FPGT-TNNI3K,-0.0247998562753037
ERICH3,0
RP11-17E13.2,0
CRYZ,-0.0594445328651672
TYW3,0.0830554492348063
SLC44A5,-0.026281639750634
ACADM,-0.028493218271451
RABGGTB,0.0495213830278901
MSH4,0
ST6GALNAC3,0.00570071801532004
RP5-1102E8.3,-0.0216985464799105
PIGK,-0.0229083343194918
AK5,0
ZZZ3,-0.031606316681044
USP33,-0.0463769597253646
FAM73A,-0.0551815096919928
NEXN,0.0744476219110885
FUBP1,-0.0321605193920036
DNAJB4,-0.0125981502594354
GIPC2,-0.0634123640499491
RP11-386I14.4,-0.0723997572609634
PTGFR,-0.0265452471550214
IFI44L,-0.0579672863048679
IFI44,-0.0150200967334648
ADGRL4,0.0429537983507184
RP5-887A10.1,0.0264829918915495
ADGRL2,-0.0422605190438607
RP11-475O6.1,-0.0412175912691164
RP5-836J3.1,0
TTLL7,-0.0344124406452349
RP11-486G15.2,-0.021358539711351
PRKACB,-0.0677823823200512
SAMD13,0.0259231082626042
DNASE2B,0
RPF1,-0.006276710993197
GNG5,0.0393852772297873
CTBS,-0.109076500842002
SSX2IP,0.00826199497087584
LPAR3,0
MCOLN2,0
MCOLN3,0
SYDE2,-0.0131272970661218
