,gene_heritability_correlation
DHCR24,-0.0481836987970478
RP11-67L3.4,0
PCSK9,0.0137361998806765
USP24,0.0194693846596557
RP11-90C4.1,0
RP11-504A18.1,0.00680747865969587
RP4-710M16.2,-0.0151520895805578
PLPP3,-0.0350317822885996
PRKAA2,-0.02802056594394
C1orf168,-0.0186720540630857
C8A,-0.0158085079585958
C8B,0.00999775827054097
RP5-1103B4.3,0.00374961822891027
DAB1,0.00634882940080196
OMA1,0.0183913943175608
TACSTD2,0.0108821364044888
MYSM1,-0.00526152827145725
JUN,0.0157799807907759
LINC01135,0
RP4-794H19.1,0.00375037661874771
LINC01358,0
FGGY,-0.023529548482055
HOOK1,-0.0362240558821176
CYP2J2,-0.0336164642427329
RP11-776H12.1,0
NFIA,0.00288350380713171
TM2D1,-2.33455058597299e-05
RP11-430G17.3,0
INADL,-0.149253417343456
L1TD1,0.00376723713294945
KANK4,0
USP1,0.0259451715622951
DOCK7,0.0149703249295865
ANGPTL3,-0.00992814013466401
RP11-230B22.1,0
ATG4C,-0.0240289999430768
RP11-5P4.1,0
ALG6,-0.0147221371235632
ITGB3BP,0.0198310154553452
EFCAB7,0.00989915485499841
PGM1,-0.103165089944079
ROR1,0
CACHD1,0.00658962829756903
RAVER2,0.00424575606233852
JAK1,0.0295866114615423
RP4-535B20.4,0.0037507632535666
AK4,-0.0276230345956148
DNAJC6,0.00449118391515359
LEPROT,0.0143663235592193
LEPR,0.00867876081705934
PDE4B,0.020340526463504
SGIP1,0.00424072424473218
TCTEX1D1,0.00900518452618749
WDR78,0.00529467457310645
MIER1,-0.0067738049711131
SLC35D1,-0.0306058748851421
IL23R,0.00920598179400299
IL12RB2,0.00804160105091336
SERBP1,-0.0087492674355709
RP11-393N21.2,-0.000140137493648534
GADD45A,0.021004606552053
GNG12,0.00194633471442918
GNG12-AS1,0.00501025221298524
DIRAS3,0.00375070023808418
WLS,0.019903489784871
DEPDC1,0.00924583648357127
DEPDC1-AS1,0.00374914638238148
LRRC7,0.0118858288853396
LRRC40,-0.0305282337038782
SRSF11,0.020501396546683
ANKRD13C,-0.0127894878607557
HHLA3,0.0195402099831937
CTH,-0.0409129867668666
RP11-42O15.3,0.010909121170124
PTGER3,0
ZRANB2-AS1,0
ZRANB2,0.0102869322403327
NEGR1,0.00374984336412032
LRRIQ3,0.00771177041422475
FPGT,-0.0854463600364766
FPGT-TNNI3K,0.0037482579441855
ERICH3,0
RP11-17E13.2,-0.0787437192292382
CRYZ,-0.0267504245664334
TYW3,-0.0222729975217585
SLC44A5,0.00375115912745437
ACADM,-0.0327021561570682
RABGGTB,0.00534129483695436
MSH4,0.00374941435245667
ST6GALNAC3,-0.048449856137315
RP5-1102E8.3,0.0037507632535666
PIGK,0.0215826284459005
AK5,0.00517935735069231
ZZZ3,0.0193189897655288
USP33,0.0219224512689681
FAM73A,0.000601993406986413
NEXN,0.00581451654182157
FUBP1,0.0277417366982983
DNAJB4,0.0208995644283655
GIPC2,-0.0354509114679568
RP11-386I14.4,0.0291078106767008
PTGFR,0.00374886620540594
IFI44L,0.0147663595938416
IFI44,-0.0182148513920395
ADGRL4,-0.0580596646195159
RP5-887A10.1,0
ADGRL2,0.0232752998286742
RP11-475O6.1,0.00559725976562632
RP5-836J3.1,0.00374820091051848
TTLL7,-0.103655807627815
RP11-486G15.2,0.00828313201907281
PRKACB,-0.0117525132889142
SAMD13,0
DNASE2B,0
RPF1,0.0303432437653971
GNG5,0.0249852567023932
CTBS,0.0123787546240789
SSX2IP,-0.0817013296369509
LPAR3,0
MCOLN2,0.00921471351633204
MCOLN3,0.00629746939209803
SYDE2,0.0112083667477337
C1orf52,-0.00728572758750667
BCL10,0.0197465193629649
RP11-131L23.1,0.00528075126001771
DDAH1,-0.0460874506674168
RP11-131L23.2,0.00374907100582351
RP4-621F18.2,0.00374965876449752
RP11-290M5.4,0
CYR61,-0.0233994013523136
ZNHIT6,0.0194495557233736
COL24A1,0
ODF2L,0.0337609918566922
RP4-612B15.3,0.00523347488010694
SH3GLB1,0.0236327940334523
SEP15,0.0465449162939463
HS2ST1,-0.0401709541165296
LMO4,-0.00456262669254495
PKN2-AS1,0.00527980891517381
PKN2,0.00737091182968959
GTF2B,0.0218272747930795
CCBL2,0.0154505095319953
RBMXL1,-0.011526459205131
GBP3,0.0166171199179169
GBP1,0.00222572986255556
GBP2,0.0326265463126623
GBP7,0.0154433770996768
GBP4,0.0238618563619734
GBP5,0.0186217631366255
GBP6,0
LRRC8B,-0.035612150121442
FLJ27354,0.00721721590431585
LRRC8C,0.0159521141295908
RP5-943J3.2,0.00374897203441595
LRRC8D,-0.0414110101193724
ZNF326,-0.0135907674794323
RP4-665J23.1,-0.0130826852855825
ZNF644,0.0261870277912493
CDC7,0.00714517030764443
TGFBR3,-0.00996304803247873
BRDT,0
EPHX4,0.00375397752524741
SETSIP,0.00374942361513939
BTBD8,-0.081000150505974
KIAA1107,0.00761692864715025
GLMN,0.0131128760023389
RPAP2,0.00471643151382291
GFI1,0.0124035936081708
EVI5,-0.00929691899920508
RPL5,0.0512970505678849
FAM69A,0.014269869966732
MTF2,0.00749626325482596
TMED5,-0.0231310678830082
CCDC18,-0.0364157281309141
DR1,0.0313480038947899
FNBP1L,-0.0222158049146218
BCAR3,0.0144400943822191
RP5-1033H22.2,0.00529642376176731
RP4-561L24.3,0
DNTTIP2,0.0245050126509845
GCLM,-0.0566153101429385
ABCA4,0.00374989956588933
ARHGAP29,-0.0687519583273192
ABCD3,-0.00124537680032821
F3,0.00570256366177729
SLC44A3,0.0103374223332928
CNN3,-0.0353082989756901
RP4-639F20.1,0.0123442014171739
ALG14,-0.0587579107454505
TMEM56,0.00107537904213858
TMEM56-RWDD3,0.00636856439483848
RP11-57H12.3,0
RWDD3,0.00846886894169481
PTBP2,-0.0673806169232335
DPYD,0.0193030072018761
SNX7,0.0144683440025536
PALMD,-0.0492472180830391
FRRS1,0.00723103344934493
AGL,-0.000482926300134235
RP5-884G6.2,0.00777248208787021
SLC35A3,-0.0478689416315449
MFSD14A,-0.0287491733106623
SASS6,-0.0485054486768807
